symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600765,,0.0,1.0,0.9005,0.0,0.0,0.6885,0.1195,0.6,0.0,0.0,0.0,0.5,0.0,0.504,False,False,False,False,13.93,-1.0,15.38,False,21626.2,机械行业,大飞机/国防军工/军民融合,29.0
600768,,0.0,1.0,0.7306,0.2047,0.0,0.7844,0.2627,0.0,0.2283,0.0,0.0,0.0,0.7,0.3906,False,False,False,False,15.68,0.58,16.77,False,2097.2,有色金属,准ST股,62.0
600769,,0.0,1.0,0.5808,0.7014,0.0,0.5761,0.4057,0.9,1.0,0.0,0.0,0.5,0.7,0.3005,False,False,False,False,16.72,2.08,16.25,True,6269.6,电力行业,武汉规划,65.3
600770,,0.0,1.0,0.7868,0.2965,0.0,0.8982,0.1355,0.0,0.3327,0.0,0.0,0.0,1.0,0.4779,False,False,False,False,5.98,0.67,6.29,False,7774.0,综合行业,光伏/光伏概念/5G概念,20.3
600771,,0.0961,1.0,0.8358,0.0,0.0,0.6353,0.1742,0.3,0.0,0.0,0.0,0.0,0.0,0.4179,False,False,False,False,13.83,-2.67,15.62,False,6769.7,生物制药,白酒概念,24.5
600773,,0.0,1.0,0.6393,0.0,0.0,0.6611,0.0956,0.0,0.0,0.0,0.0,0.5,0.0,0.5199,False,False,False,False,15.55,1.37,17.78,False,14797.2,房地产,盐湖提锂/锂电池/涉矿概念,29.6
600774,,0.2796,1.0,0.8,0.0,0.0,0.4157,0.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.501,False,False,False,False,6.93,-1.0,8.07,False,2043.5,商业百货,武汉规划,26.7
600775,,0.0,1.0,0.7063,0.0,0.0,0.6788,0.2299,0.3,0.0,0.0,0.0,0.0,0.0,0.4225,False,False,False,False,10.58,1.34,12.05,False,7108.1,电子信息,军民融合/含H股/智能机器,26.5
600776,,0.0,0.9724,0.5736,0.2204,0.1555,0.5856,0.3605,0.3,0.618,0.0,1.0,0.5,1.0,0.3751,False,False,False,False,15.97,3.17,16.2,False,15267.3,电子信息,含B股/国企改革,26.5
600777,,1.0,0.8269,0.7436,0.6594,0.0,0.3483,0.1819,0.0,0.1636,0.0,0.0,0.0,0.7,0.4525,False,False,False,False,4.99,-4.04,5.4,False,31767.1,综合行业,黄河三角/金融改革/赛马概念,20.3
600778,,0.3215,1.0,0.6921,0.0064,0.0,0.4875,0.1038,0.0,0.0,0.0,0.0,0.0,1.0,0.4682,False,False,False,False,5.56,-1.24,6.32,False,1730.4,商业百货,内贸规划/业绩预升/参股金融,26.7
600779,,0.4108,1.0,0.8736,0.0407,0.0,0.7568,0.4391,0.9,0.0,0.0,0.0,0.0,0.0,0.3189,False,False,False,False,29.13,-1.35,32.57,False,14201.0,酿酒行业,白酒概念/成渝特区/融资融券,23.3
600780,,0.5606,1.0,0.8101,0.624,0.0,0.8417,0.5327,0.0,0.3942,0.0,0.0,0.0,0.7,0.3744,False,False,False,False,6.71,0.6,6.97,False,7693.0,电力行业,,65.3
600782,,0.0,1.0,0.8502,0.0,0.0,0.7722,0.1297,0.0,0.0,0.0,0.0,0.0,0.0,0.5062,False,False,False,False,2.65,-0.75,3.06,False,8336.0,钢铁行业,整体上市/信托重仓,26.9
600783,,0.9044,0.7883,0.3603,0.5016,0.2352,0.4609,0.254,0.3,0.24,0.0,0.0,0.0,1.0,0.4911,False,False,False,False,20.85,-4.27,22.44,False,15519.9,其它行业,军民融合/黄河三角/业绩预升,41.7
600784,,0.1297,1.0,0.8788,0.5345,0.0,0.948,0.2797,0.3,0.2464,0.0,0.0,0.0,0.7,0.3746,False,False,False,False,7.04,-1.54,7.4,False,4756.6,钢铁行业,专精特新/光伏/黄河三角,26.9
600785,,0.0,1.0,0.7872,0.0,0.0,0.6239,0.2734,0.6,0.0243,0.0,0.0,0.0,0.0,0.4423,False,False,False,False,15.15,0.73,16.66,False,3418.3,商业百货,内贸规划/陕甘宁/金融参股,26.7
600787,,0.0,1.0,0.8551,0.0,0.0,0.5507,0.1547,0.0,0.0,0.0,0.0,0.0,0.0,0.41,False,False,False,False,4.62,0.43,5.01,False,10025.8,交通运输,雄安新区/物联网/融资融券,28.9
600789,,0.2838,1.0,0.889,0.0,0.0,0.7808,0.2133,0.3,0.0,0.0,0.0,0.0,0.0,0.3309,False,False,False,False,7.1,-1.53,7.98,False,6380.6,生物制药,黄河三角/生物疫苗,24.5
600790,,0.3578,1.0,0.7707,0.4434,0.0,0.8068,0.1644,0.0,0.2513,0.0,0.0,0.0,1.0,0.3709,False,False,False,False,3.8,0.53,4.02,False,5570.0,商业百货,业绩预升/分拆上市/参股金融,26.7
600791,,1.0,0.0,1.0,1.0,0.0,1.0,0.3814,0.0,0.0,0.0,0.0,0.0,0.7,0.5582,False,False,False,False,9.84,-9.97,12.75,False,4450.8,房地产,,29.6
600792,,0.2838,1.0,0.6474,0.353,0.4594,0.4987,0.4496,0.0,0.5602,0.0,0.0,0.5,0.0,0.3159,False,False,False,False,4.21,1.2,4.24,False,4672.8,煤炭行业,军民融合/低碳经济/涉矿概念,44.3
600793,,0.4548,1.0,0.7966,0.0,0.0,0.6241,0.163,0.3,0.0,0.0,0.0,0.0,0.0,0.4507,False,False,False,False,13.3,-1.04,15.85,False,2352.8,造纸行业,成渝特区,24.3
600794,,0.0,1.0,0.8726,0.0,0.0,0.643,0.1213,0.0,0.0,0.0,0.0,0.0,0.0,0.5232,False,False,False,False,3.12,-0.64,3.42,False,3744.5,交通运输,信托重仓/参股金融,28.9
