symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600905,,0.5065,1.0,0.8077,0.5103,0.6273,0.0,0.7321,0.6,0.5647,0.0,0.0,0.5,0.0,0.2403,False,False,False,4.18,0.48,4.18,False,119496.4,,光伏,
600906,,0.0,0.0,0.2441,0.5773,1.0,0.0,0.5663,0.9,0.985,0.0,1.0,0.5,1.0,0.3803,False,False,True,6.99,10.08,6.59,True,148.5,,,
600908,,0.0,1.0,0.8303,0.3048,0.3622,0.2528,0.082,0.0,0.5192,0.0,0.0,1.0,0.0,0.408,False,False,False,5.59,1.64,5.6,False,11176.2,,,
600909,,0.0,1.0,0.7983,1.0,1.0,0.0254,0.4967,0.9,1.0,0.0,0.0,0.5,1.0,0.339,False,False,False,7.35,1.1,6.65,True,36927.9,,,
600916,,0.0,0.8976,0.7055,0.0,0.0,0.1412,0.2194,0.3,0.0,0.0,0.0,0.0,0.0,0.4394,False,False,False,7.74,3.61,8.51,False,13003.2,,,
600917,,0.0477,1.0,0.8133,0.2758,0.0,0.6614,0.4596,0.6,0.2058,0.0,1.0,0.0,0.0,0.3302,False,False,False,5.08,1.6,5.3,False,7930.1,供水供气,,22.8
600918,,0.0,1.0,0.7431,0.0,0.0,0.0,0.1743,0.0,0.0,0.0,0.0,0.0,0.0,0.3784,False,False,False,5.34,2.89,5.75,False,20964.0,,,
600919,,0.0,1.0,0.8302,0.7199,1.0,0.3925,0.516,0.0,1.0,0.0,0.0,1.0,0.7,0.2776,False,False,False,11.89,0.93,11.14,True,218197.2,,,
600925,,0.9688,1.0,0.8017,0.5075,0.2678,0.4406,0.3443,0.0,0.205,0.0,1.0,0.5,0.0,0.4249,True,False,False,4.43,1.37,4.66,False,7114.8,,,
600926,,0.0,1.0,0.8595,0.3995,0.4858,0.0,0.3043,0.0,0.7438,0.0,0.0,1.0,0.0,0.3849,False,False,False,16.74,0.78,16.38,True,121348.3,,,
600927,,0.424,1.0,0.725,0.0816,0.0,0.627,0.1994,0.3,0.0,0.0,0.0,0.0,1.0,0.4719,False,False,False,12.48,2.97,14.01,False,18165.3,,,
600928,,0.0,0.9747,0.7517,0.3562,0.3527,0.0688,0.1099,0.0,0.5443,0.0,0.0,0.0,0.0,0.4369,False,False,False,3.6,3.15,3.59,True,15924.1,,,
600929,,0.2798,1.0,0.7067,0.0,0.0,0.6816,0.167,0.6,0.0,0.0,0.0,0.0,0.0,0.5207,False,False,False,5.11,2.2,5.9,False,8381.0,,,
600930,,0.4695,1.0,0.7422,0.3758,0.0,0.6807,0.3436,0.3,0.0,0.0,1.0,0.0,0.0,0.4541,False,False,False,5.81,2.11,6.2,False,18765.2,次新股,,33.2
600933,,0.3204,1.0,0.7963,0.0369,0.0,0.7825,0.2463,0.6,0.0,0.0,1.0,0.0,0.0,0.4193,False,False,False,14.74,2.36,16.69,False,14406.5,,,
