symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,concepts,sector_score,strict_signal,strategies
688025,,91.58,41,"vol_shrink(+0.37), j_low(+0.24), pct_calm(+0.20)",,"vol_shrink(+0.37), j_low(+0.24), pct_calm(+0.20)",1.0,1.0,0.6137,1.0,1.0,0.7612,0.2878,0.3,1.0,1.0,0.0,0.5,0.7,0.384,True,False,False,False,B1候B2,395.61,1.03,380.3,True,37602.5,专精特新/TOPCON电池,,True,B1
300706,,91.31,42,"vol_shrink(+0.34), j_low(+0.24), pct_calm(+0.20)",,"vol_shrink(+0.34), j_low(+0.24), pct_calm(+0.20)",1.0,1.0,0.6121,1.0,1.0,0.735,0.7667,0.3,1.0,1.0,0.0,0.5,0.7,0.4008,True,False,False,False,B1候B2,69.03,-0.58,62.06,True,78.4,专精特新/超导概念/钒电池,,True,B1
300327,,91.25,43,"amplitude(+0.34), vol_shrink(+0.22), j_low(+0.21)",电子器件,"amplitude(+0.34), vol_shrink(+0.22), j_low(+0.21)",0.9097,1.0,0.6994,0.9185,1.0,0.6384,0.4169,0.0,1.0,0.0,0.0,1.0,0.7,0.3886,True,False,False,False,B1候B2,30.64,-0.62,29.3,True,10382.5,物联网/智能家居/智能穿戴,46.5,True,B1
688328,,91.14,44,"vol_shrink(+0.34), pct_calm(+0.20), amplitude(+0.20)",,"vol_shrink(+0.34), pct_calm(+0.20), amplitude(+0.20)",0.8492,1.0,0.6293,1.0,1.0,0.7366,0.3433,0.0,1.0,1.0,0.0,0.5,0.7,0.4079,True,False,False,False,B1候B2,80.06,-0.17,69.6,True,75.6,电子纸,,True,B1
300623,,91.02,45,"vol_shrink(+0.33), j_low(+0.24), amplitude(+0.23)",,"vol_shrink(+0.33), j_low(+0.24), amplitude(+0.23)",0.9841,1.0,0.6424,1.0,1.0,0.7287,0.4693,0.0,1.0,1.0,1.0,0.5,0.7,0.3633,True,False,False,False,B1候B2,38.32,0.26,35.75,True,29414.9,专精特新/高压快充/柔性直流输电,,True,B1
688519,,90.89,46,"vol_shrink(+0.33), amplitude(+0.21), pct_calm(+0.20)",,"vol_shrink(+0.33), amplitude(+0.21), pct_calm(+0.20)",0.8466,1.0,0.6354,1.0,1.0,0.7259,0.5623,0.0,1.0,1.0,0.0,0.5,0.7,0.4029,True,False,False,False,B1候B2,338.0,-0.62,278.71,True,79352.6,华为概念/存储芯片/共封装光学(CPO),,True,B1
688268,,90.86,47,"vol_shrink(+0.35), j_low(+0.24), pct_calm(+0.20)",,"vol_shrink(+0.35), j_low(+0.24), pct_calm(+0.20)",1.0,1.0,0.595,1.0,1.0,0.7442,0.6676,0.3,1.0,1.0,0.0,0.5,0.7,0.4033,True,False,False,False,B1候B2,218.0,2.73,187.71,True,26640.9,俄乌冲突概念/氟化工概念/光刻机,,True,B1
688045,,90.84,48,"vol_shrink(+0.32), j_low(+0.23), pct_calm(+0.20)",,"vol_shrink(+0.32), j_low(+0.23), pct_calm(+0.20)",0.9661,1.0,0.5778,1.0,1.0,0.7195,0.4297,0.0,1.0,1.0,0.0,0.5,0.7,0.4532,True,False,False,False,B1候B2,70.96,-1.44,68.44,True,5008.1,专精特新,,True,B1
301310,,90.81,49,"vol_shrink(+0.39), amplitude(+0.25), pct_calm(+0.20)",,"vol_shrink(+0.39), amplitude(+0.25), pct_calm(+0.20)",0.8837,1.0,0.655,1.0,1.0,0.7776,0.3658,0.3,1.0,0.0,0.0,0.5,1.0,0.324,True,False,False,False,B1候B2,50.98,-1.18,41.79,True,31.1,宁德时代概念/充电桩/创投,,True,B1+周线金叉
300433,,90.8,50,"vol_shrink(+0.36), amplitude(+0.29), pct_calm(+0.20)",电子器件,"vol_shrink(+0.36), amplitude(+0.29), pct_calm(+0.20)",0.6987,1.0,0.6752,1.0,1.0,0.7533,0.4675,0.0,1.0,0.0,0.0,0.5,1.0,0.3609,True,False,False,False,B1候B2,51.85,1.05,44.27,True,257678.9,光伏概念/无线耳机/小米概念,46.5,True,B1+周线金叉
