symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600117,,0.0,1.0,0.8122,0.0,0.0,0.6539,0.2663,0.6,0.0,0.0,0.0,0.5,0.0,0.5329,False,False,False,False,无明确战法态,2.1,-1.41,2.33,False,6835.7,钢铁行业,参股金融/特钢概念,30.1
600118,,0.0,0.7644,0.4805,0.0,0.3866,0.6008,0.3975,0.6,0.3771,0.0,0.0,1.0,0.0,0.3852,False,False,False,False,无明确战法态,79.48,-4.41,83.37,False,93984.2,飞机制造,大飞机/国防军工/军工航天,28.1
600119,,0.0,0.5466,0.4633,0.0,0.0,0.6577,0.1459,0.0,0.0,0.0,0.0,0.5,0.0,0.6605,False,False,False,False,无明确战法态,4.45,-5.72,5.26,False,1625.5,交通运输,金融改革/金融参股/上海本地,32.3
600120,,0.0,0.0,1.0,0.0,0.0,0.6824,0.2967,0.0,0.3116,0.0,0.0,0.5,0.0,0.5044,False,False,False,False,无明确战法态,4.88,9.91,4.95,False,16667.1,物资外贸,金融改革/金融参股/参股金融,31.8
600121,,0.5232,0.509,0.5676,0.0,0.0,0.796,0.4396,0.0,0.0,0.0,0.0,0.0,1.0,0.5346,False,False,False,False,无明确战法态,3.48,-5.95,4.2,False,4240.1,煤炭行业,业绩预降/金融参股/参股金融,26.5
600123,,0.0,0.7814,0.6241,0.0126,0.0,0.6787,0.3499,0.0,0.0,0.0,0.0,0.5,0.0,0.5208,False,False,False,False,无明确战法态,5.77,-4.31,6.28,False,8500.6,煤炭行业,低碳经济/稀缺资源/信托重仓,26.5
600125,,0.0,1.0,0.8255,0.0,0.0,0.7363,0.1987,0.0,0.0,0.0,0.0,0.5,0.0,0.3519,False,False,False,False,无明确战法态,5.21,-2.62,5.65,False,6801.8,交通运输,金融参股/社保重仓/参股金融,32.3
600126,,0.9162,0.8525,0.7523,0.0,0.0,0.7743,0.1692,0.0,0.0,0.0,0.0,0.0,0.0,0.7643,False,False,False,False,无明确战法态,5.69,-3.89,7.41,False,19216.2,钢铁行业,汽车拆解概念/算力租赁/特钢概念,30.1
600127,,0.0,1.0,0.7545,0.0,0.0,0.6431,0.2793,0.0,0.0,0.0,0.0,0.5,0.0,0.4093,False,False,False,False,无明确战法态,5.36,-1.29,5.95,False,3440.0,农林牧渔,长株潭/基因概念/准ST股,26.5
600128,,0.0,0.9549,0.7317,0.0,0.0,0.5927,0.1692,0.3,0.0,0.0,0.0,0.0,0.0,0.5032,False,False,False,False,无明确战法态,7.69,-3.27,9.03,False,1897.6,物资外贸,金融参股/参股金融/股期概念,31.8
600129,,0.0,0.662,0.7486,0.0,0.2889,0.0656,0.4732,0.3,0.0386,0.0,0.0,1.0,0.0,0.448,False,False,False,False,无明确战法态,13.6,-5.03,14.23,False,7499.3,生物制药,成渝特区/抗癌/金融参股,37.6
600130,,1.0,1.0,0.6818,0.1855,0.0,0.9383,0.2642,0.0,0.0,0.0,0.0,0.0,0.0,0.689,False,False,False,False,无明确战法态,4.08,-2.63,4.72,False,3060.0,电子信息,人脸识别,16.9
600131,,0.844,1.0,0.7112,0.0,0.0,0.7445,0.1117,0.3,0.0,0.0,0.0,0.0,0.0,0.4996,False,False,False,False,无明确战法态,13.89,-2.94,16.3,False,16611.1,电力行业,碳交易/成渝特区/低碳经济,16.4
600132,,0.0,0.9979,0.7482,0.0,0.0,0.7028,0.1587,0.3,0.0,0.0,0.0,0.5,0.0,0.4864,False,False,False,False,无明确战法态,41.85,-3.01,48.13,False,20254.2,酿酒行业,成渝特区/外资背景,24.5
600133,,0.4581,1.0,0.6464,0.0051,0.0,0.6405,0.2003,0.0,0.0,0.0,1.0,0.0,0.0,0.351,False,False,False,False,无明确战法态,7.79,0.78,8.51,False,8306.0,房地产,武汉规划/节能环保/金融参股,27.4
600135,,0.4037,1.0,0.6406,0.0,0.0,0.8589,0.3148,0.0,0.0,0.0,0.0,0.0,0.0,0.6059,False,False,False,False,无明确战法态,7.6,-2.44,9.15,False,4205.1,化工行业,光伏/锂电池/京津冀,46.5
600136,,0.0,0.4437,0.5775,0.0,0.0,0.4662,0.2412,0.0,0.0,0.0,0.0,0.5,0.0,0.6177,False,False,False,False,无明确战法态,1.33,-6.34,1.54,False,2584.3,商业百货,武汉规划/金融参股/参股金融,27.7
600137,,0.0,0.9306,0.6835,0.0,0.0,0.6601,0.2909,0.6,0.0,0.0,0.0,0.5,0.0,0.517,False,False,False,False,无明确战法态,16.68,-3.42,19.27,False,1621.6,服装鞋类,,39.0
600138,,0.0,1.0,0.7853,0.0,0.0,0.674,0.2932,0.0,0.0,0.0,0.0,0.5,0.0,0.4028,False,False,False,False,无明确战法态,6.65,-2.64,7.72,False,48.1,酒店旅游,QFII重仓/分拆上市/冰雪产业,29.8
600141,,1.0,0.5651,0.5601,1.0,1.0,0.6103,0.2843,0.0,0.6324,0.0,0.0,0.5,1.0,0.4438,False,False,False,False,B1候B2,37.19,-5.61,37.74,False,44692.7,化工行业,稀缺资源/金融参股/参股金融,46.5
